#configname,clex_mut
SCEL7_7_1_1_0_0_6/6,-0.401443680368
SCEL7_7_1_1_0_0_6/7,-0.13436998263
SCEL7_7_1_1_0_0_6/8,-0.290875363132
SCEL7_7_1_1_0_0_6/9,-0.272366408358
SCEL7_7_1_1_0_2_4/0,-0.179647192437
SCEL7_7_1_1_0_2_4/1,-0.314710088991
SCEL7_7_1_1_0_2_4/10,-0.348841028964
SCEL7_7_1_1_0_2_4/11,-0.355009002615
SCEL7_7_1_1_0_2_4/12,-0.423498453887
SCEL7_7_1_1_0_2_4/13,-0.386337090151
SCEL7_7_1_1_0_2_4/14,-0.316927128302
SCEL7_7_1_1_0_2_4/15,-0.224959933492
SCEL7_7_1_1_0_2_4/2,-0.335443158135
SCEL7_7_1_1_0_2_4/3,-0.413242203135
SCEL7_7_1_1_0_2_4/4,-0.303281912789
SCEL7_7_1_1_0_2_4/5,-0.399425564892
SCEL7_7_1_1_0_2_4/6,-0.435160553733
SCEL7_7_1_1_0_2_4/7,-0.345558376948
SCEL7_7_1_1_0_2_4/8,-0.411497654763
SCEL7_7_1_1_0_2_4/9,-0.395714696779
SCEL7_7_1_1_0_3_5/0,-0.183107562301
SCEL7_7_1_1_0_3_5/1,-0.326435740139
SCEL7_7_1_1_0_3_5/2,-0.383104559801
SCEL7_7_1_1_0_3_5/3,-0.390502632513
SCEL7_7_1_1_0_3_5/4,-0.404490842611
SCEL7_7_1_1_0_3_5/5,-0.405241217698
SCEL7_7_1_1_0_3_5/6,-0.348786062509
SCEL7_7_1_1_0_3_5/7,-0.217369823624
SCEL7_7_1_1_0_3_6/0,-0.152547499369
SCEL7_7_1_1_0_3_6/1,-0.235731630757
SCEL7_7_1_1_0_3_6/10,-0.400028148375
SCEL7_7_1_1_0_3_6/11,-0.236666751264
SCEL7_7_1_1_0_3_6/12,-0.372215809907
SCEL7_7_1_1_0_3_6/13,-0.280626368433
SCEL7_7_1_1_0_3_6/14,-0.344157472213
SCEL7_7_1_1_0_3_6/15,-0.174702248288
SCEL7_7_1_1_0_3_6/2,-0.269334514895
SCEL7_7_1_1_0_3_6/3,-0.24974122016
SCEL7_7_1_1_0_3_6/4,-0.310870399625
SCEL7_7_1_1_0_3_6/5,-0.336092954359
SCEL7_7_1_1_0_3_6/6,-0.249346728253
SCEL7_7_1_1_0_3_6/7,-0.374419988771
SCEL7_7_1_1_0_3_6/8,-0.359186103258
SCEL7_7_1_1_0_3_6/9,-0.335097522969
SCEL7_7_1_1_0_6_4/0,-0.158461776357
SCEL7_7_1_1_0_6_4/1,-0.275022139107
SCEL7_7_1_1_0_6_4/10,-0.313946260165
SCEL7_7_1_1_0_6_4/11,-0.279741517519
SCEL7_7_1_1_0_6_4/12,-0.372992800181
SCEL7_7_1_1_0_6_4/13,-0.30797979174
SCEL7_7_1_1_0_6_4/14,-0.287484034493
SCEL7_7_1_1_0_6_4/15,-0.192330420034
SCEL7_7_1_1_0_6_4/2,-0.294618888232
SCEL7_7_1_1_0_6_4/3,-0.343239120175
SCEL7_7_1_1_0_6_4/4,-0.278392646654
SCEL7_7_1_1_0_6_4/5,-0.335298112595
SCEL7_7_1_1_0_6_4/6,-0.335041585279
SCEL7_7_1_1_0_6_4/7,-0.320718274819
SCEL7_7_1_1_0_6_4/8,-0.358489146485
SCEL7_7_1_1_0_6_4/9,-0.352410485071
SCEL7_7_1_1_0_6_5/0,-0.164099601631
SCEL7_7_1_1_0_6_5/1,-0.292019759535
SCEL7_7_1_1_0_6_5/10,-0.197465301997
SCEL7_7_1_1_0_6_5/11,-0.308210187082
SCEL7_7_1_1_0_6_5/12,-0.385011237452
SCEL7_7_1_1_0_6_5/13,-0.362666563902
SCEL7_7_1_1_0_6_5/14,-0.208362417104
SCEL7_7_1_1_0_6_5/15,-0.180130071156
SCEL7_7_1_1_0_6_5/2,-0.32711713316
SCEL7_7_1_1_0_6_5/3,-0.420050255968
SCEL7_7_1_1_0_6_5/4,-0.20064704247
SCEL7_7_1_1_0_6_5/5,-0.339185580056
SCEL7_7_1_1_0_6_5/6,-0.439593040165
SCEL7_7_1_1_0_6_5/7,-0.199102493571
SCEL7_7_1_1_0_6_5/8,-0.367049129985
SCEL7_7_1_1_0_6_5/9,-0.345623509022
SCEL8_1_1_8_0_0_0/0,-0.0846359908774
SCEL8_1_1_8_0_0_0/1,-0.168391259629
SCEL8_1_1_8_0_0_0/10,-0.173667320102
SCEL8_1_1_8_0_0_0/11,-0.271459655789
SCEL8_1_1_8_0_0_0/12,-0.085522062276
SCEL8_1_1_8_0_0_0/13,-0.173784661093
SCEL8_1_1_8_0_0_0/14,-0.168791464245
SCEL8_1_1_8_0_0_0/15,-0.173786695444
SCEL8_1_1_8_0_0_0/16,-0.176371783121
SCEL8_1_1_8_0_0_0/17,-0.188394245061
SCEL8_1_1_8_0_0_0/18,-0.0798248262003
SCEL8_1_1_8_0_0_0/19,-0.273089476653
SCEL8_1_1_8_0_0_0/2,-0.181875050114
SCEL8_1_1_8_0_0_0/20,-0.0763359024267
